,MK,MKH,Kb,Ka,cont
RNU6-497P,0,0,0,0,0
MIR3129,0,0,0,0,0
RN7SKP278,0,0,0,0,0
RNU6-383P,0,0,0,0,0
ENSG00000274901,0,0,0,0,0
ENSG00000206905,0,0,0,0,0
RNU6-1106P,0,0,0,0,0
RNU6-539P,4,6,7,8,9
ENSG00000276563,2,1,0,0,0
RN7SL266P,0,0,0,0,0
RN7SL480P,3,2,1,2,1
ENSG00000231057,9,18,28,30,23
RNU6-138P,0,0,0,0,0
RN7SL623P,0,1,5,2,0
PECR,755,499,952,641,1086
RNU7-126P,0,0,0,0,0
RNU6-949P,0,0,0,0,0
RN7SL304P,0,0,0,0,0
RNU5B-3P,0,0,0,0,0
ENSG00000206637,0,0,0,0,0
ENSG00000238485,0,0,0,0,0
SNORD65,0,0,0,0,0
TMEM39A,2987,2865,3371,3331,3964
RN7SKP143,0,0,0,0,0
RNU7-102P,0,0,0,0,0
ENSG00000202357,1,9,5,4,7
RNU4-22P,1,2,1,1,4
RNU6-942P,5,1,3,2,0
RNU6-640P,1,0,2,3,0
ENSG00000277667,0,0,0,0,0
ZNF671,502,559,594,673,696
RNU6-306P,1,2,2,2,0
ENSG00000212595,0,0,0,0,0
RN7SL557P,0,0,0,0,0
ENSG00000273913,0,0,1,0,0
ENSG00000201860,0,0,0,0,0
RNU6-1141P,1,0,0,1,1
ENSG00000253088,0,1,4,0,3
RNU6-1236P,0,0,0,0,0
ENSG00000200120,5,4,8,5,12
ENSG00000212347,0,0,0,0,0
RNU6-735P,0,0,0,0,0
ENSG00000268392,26,22,24,17,25
RNU6-717P,0,0,0,0,0
RN7SL583P,0,0,0,0,0
RNA5SP246,0,0,0,0,0
MIR6735,0,0,0,0,0
MIR4779,2,4,0,4,1
ENSG00000275775,0,0,0,0,0
MIR505,0,2,1,1,0
ENSG00000225528,2,1,4,7,3
MIR153-2,0,0,0,0,0
MIR33A,0,1,0,0,0
ENSG00000276706,0,0,0,0,0
MIR4516,0,1,3,2,1
ENSG00000263468,0,1,0,0,0
ENSG00000279287,0,0,0,0,0
ENSG00000260038,13,11,10,17,16
RNU2-26P,0,0,0,0,0
RNA5SP124,0,0,0,0,0
MIR3153,37,18,9,37,27
RN7SL176P,0,0,0,0,0
MIR4661,0,1,0,0,0
RN7SL461P,0,0,0,0,0
MIR3688-1,0,0,0,0,0
RNU6-805P,0,4,0,0,0
ENSG00000234111,0,1,0,0,0
RNU6-6P,16,28,19,35,24
ENSG00000252115,0,0,0,0,0
RNU6-352P,0,0,0,0,0
ENSG00000276918,0,0,1,0,0
SNORA50C,0,0,0,0,0
MIR1273D,0,0,1,1,0
RNU6-1269P,0,0,0,0,0
ENSG00000237222,5,5,27,13,6
NF1P8,0,0,0,0,0
MIR3117,0,0,0,0,0
MIR199A2,0,0,0,0,0
SNORD115-42,0,0,0,0,0
MIR569,0,1,0,0,0
ENSG00000271817,1,1,1,1,2
ENSG00000199470,2,2,1,0,1
RN7SKP204,0,1,0,0,0
ENSG00000277136,2,1,2,2,3
RNU6-665P,0,0,0,0,0
RNU1-96P,0,0,0,0,0
ENSG00000262132,0,0,0,0,0
RN7SL58P,0,0,0,0,0
ENSG00000265738,0,0,0,0,0
RN7SKP235,1,1,2,2,1
RN7SL396P,240,201,231,427,263
RN7SK,2085131,2416581,1991548,3500407,2802903
RNU6-1113P,0,0,0,0,0
RNU1-30P,0,0,0,0,0
ENSG00000279183,0,0,0,0,0
RN7SL79P,0,0,0,0,0
ENSG00000273927,0,0,0,0,0
ENSG00000280127,0,1,0,0,0
RNU6-271P,0,0,0,0,0
RNU6-1080P,0,0,0,0,0
MIR1229,0,0,0,0,0
ENSG00000252204,0,0,0,0,0
SEC16B,1,9,2,1,1
RNA5SP511,0,0,0,1,0
RNU6-228P,0,6,5,0,1
RNU7-99P,0,0,0,0,0
RN7SKP54,0,0,0,0,0
MIR3680-2,0,0,0,0,0
MIR466,0,0,0,0,0
ENSG00000238390,11,12,17,21,25
MIR4446,0,0,0,0,0
RNU6-314P,0,1,0,3,6
RNU6-478P,0,0,0,0,0
ENSG00000277577,0,0,0,0,0
RN7SL798P,0,1,3,2,1
MIR1302-7,0,0,0,0,0
RNA5SP43,0,0,0,0,0
MIR8066,0,0,0,0,2
ENSG00000206651,0,1,1,3,4
SNORA1,0,0,0,0,0
MIR302C,0,2,3,5,5
RNU6-656P,0,0,0,0,1
RNA5SP412,0,0,0,0,0
ENSG00000200883,0,0,0,0,0
MIR6753,34,35,48,53,57
MIR501,0,0,0,0,0
SNORA5B,0,0,0,0,0
ENSG00000274232,0,0,0,0,0
RN7SL833P,1,1,1,3,6
MIR4733,0,0,1,0,0
RNA5SP67,0,3,0,2,0
RN7SL791P,0,0,0,0,0
ENSG00000199204,0,0,0,0,0
SNORD113-7,0,0,0,0,0
MIR4530,2,3,0,2,0
MIR3154,0,1,1,0,0
ENSG00000276493,0,1,0,0,0
RNA5SP405,0,0,0,0,0
ENSG00000265326,0,0,0,0,0
RNU6ATAC23P,2,0,0,1,0
MIR6780A,0,1,1,0,1
ENSG00000233076,0,0,0,0,0
MIR3612,0,0,0,0,0
SNORA44,0,0,0,0,0
RNU1-73P,5,2,0,6,2
SNORD71,6,5,9,13,2
ENSG00000238387,0,0,0,0,0
ENSG00000206911,0,0,0,1,0
ENSG00000233263,1,1,3,2,1
RN7SL483P,0,0,0,0,0
RNA5SP186,0,0,0,0,0
ENSG00000258633,0,1,0,4,0
MIR595,0,0,0,0,0
ENSG00000279654,0,0,1,0,0
ENSG00000201710,0,0,0,0,0
ENSG00000252143,0,0,0,0,0
ENSG00000276002,0,0,0,0,0
RNA5SP274,0,0,0,0,0
RNU6-1120P,0,0,0,0,0
RNU6-914P,0,0,0,0,0
RNU6-637P,0,0,0,0,0
RNU6-399P,0,0,0,1,0
ENSG00000251213,0,0,0,0,0
RN7SL145P,10,3,12,4,5
RNU6-1262P,0,0,3,1,3
DDX18P5,14,8,19,24,20
RNU6-298P,0,0,0,0,2
RN7SL340P,0,0,0,0,0
MIR3118-4,0,0,0,0,0
CATSPERG,35,28,59,70,46
ENSG00000274862,0,0,0,0,0
MIR6796,0,0,0,0,0
SLC38A2,27087,51546,29495,61700,52460
ENSG00000238745,0,0,0,0,0
RNA5SP114,0,0,0,0,0
ENSG00000238761,0,0,0,0,0
ENSG00000253072,0,0,0,0,0
RNU6-1220P,0,0,0,0,0
